activation,lr,batch_size,epochs,MAE,MSE,Spearman
swish,0.1,50,200,6.184767246,58.16973114,0.08580755656
tanh,0.001,50,50,6.461391926,58.20943832,0.2073615258
swish,0.001,10,200,6.4576478,58.38757706,0.1453489863
leaky_relu,0.001,20,10,6.411960602,58.41871262,0.1676351636
elu,0.01,10,200,6.651545048,58.44412231,0.01658183975
sigmoid,0.1,20,50,6.643092632,58.5063858,-0.05464369687
sigmoid,0.1,10,50,6.654201031,58.67516708,
swish,0.01,20,100,6.513661861,58.97951508,0.0711233136
elu,0.01,100,100,6.65110302,58.99917221,0.197835051
sigmoid,0.1,20,30,6.678613663,59.05266571,
leaky_relu,0.01,10,100,6.579422474,59.14245987,0.1424352322
swish,0.01,70,200,6.616556644,59.15898132,0.1830199393
swish,0.01,10,10,6.542475224,59.17770386,0.1406184661
sigmoid,0.001,70,200,6.52269268,59.47327423,0.0857998584
tanh,0.001,70,50,6.457495689,59.52257919,0.04770550648
tanh,0.001,20,200,6.397370815,59.55427933,0.1690015873
leaky_relu,0.001,100,50,6.531543255,59.5821228,0.1154916671
tanh,0.1,70,100,6.711148262,59.58475494,-0.003452692385
elu,0.01,20,100,6.646410942,59.75341034,0.03759012234
tanh,0.1,50,50,6.724578857,59.78815079,
elu,0.001,70,100,6.448429108,59.83094788,0.1202991689
tanh,0.1,50,10,6.70527935,59.92487335,0.02835181267
leaky_relu,0.001,100,30,6.415012836,60.67885971,0.1242367785
leaky_relu,0.001,70,30,6.681820393,60.8235817,0.1776389244
swish,0.001,10,30,6.660612583,61.00236511,0.1441172804
tanh,0.1,10,200,6.797793388,61.02619553,
swish,0.1,100,100,6.671248913,61.28766632,0.1033901573
tanh,0.001,100,30,6.29331255,61.30245972,0.08652348557
leaky_relu,0.001,10,50,6.738337994,61.40496445,0.1729969331
swish,0.01,50,10,6.595974445,61.40961456,0.156969361
swish,0.1,50,100,6.636881828,61.4353981,0.1857797302
swish,0.001,20,200,6.657369137,61.48707199,0.05842519629
elu,0.01,10,100,6.688279629,61.75621796,0.0684674479
swish,0.001,10,10,6.742295742,61.76642609,-0.04321362928
leaky_relu,0.001,10,100,6.614609718,61.84098434,0.193685742
leaky_relu,0.01,50,10,6.633290291,61.85401154,0.1151914388
swish,0.01,20,10,6.442791939,61.89974213,0.05822119502
swish,0.01,100,30,6.719240189,61.96566772,0.1837589628
elu,0.01,70,100,6.790958881,62.1746521,0.1133631255
leaky_relu,0.001,70,50,6.688017368,62.34038544,0.2338201067
swish,0.1,100,200,6.673232555,62.47792816,0.1994054759
leaky_relu,0.01,100,50,6.742995739,62.4913559,0.1880776314
elu,0.001,100,200,6.620816231,62.53263474,0.1396985358
swish,0.1,10,10,6.697040558,62.5581398,0.1467769952
leaky_relu,0.01,20,10,6.668029308,62.76997757,0.1613188222
elu,0.001,50,30,6.739432812,62.81450272,0.185818221
elu,0.1,100,30,6.79463625,62.85784531,0.08952576853
elu,0.001,100,100,6.701776981,62.87760162,0.1136325611
elu,0.01,20,30,6.86639595,62.91324997,0.1173661694
leaky_relu,0.1,70,30,6.758844376,62.99533844,0.125834147
elu,0.1,20,50,6.744332314,63.00487518,0.2122229147
sigmoid,0.001,50,200,6.781795502,63.14794922,0.0340836098
swish,0.001,100,50,6.731118202,63.16202164,0.1182976469
tanh,0.001,70,30,6.578272343,63.19165039,0.1065541017
sigmoid,0.1,70,10,6.80020237,63.27518082,0.07574605955
tanh,0.001,10,50,6.568410873,63.28827667,0.1302567407
elu,0.001,70,50,6.782732964,63.43270111,0.1397408756
tanh,0.01,10,50,6.843876362,63.83724594,0.07158520329
tanh,0.001,10,200,6.710289955,63.90784454,0.1057457947
swish,0.01,20,30,6.887530804,63.96214294,0.102470227
elu,0.01,50,30,6.932921886,64.0178833,0.08234723299
elu,0.001,10,100,6.617834091,64.04458618,0.07929491197
leaky_relu,0.01,20,50,6.873691559,64.15781403,0.07546122757
swish,0.1,100,50,6.789318085,64.32675934,0.06448749843
sigmoid,0.001,70,100,6.856385231,64.34985352,0.1248680277
elu,0.01,20,200,6.600523472,64.45329285,0.1001030424
elu,0.1,20,30,6.904260635,64.59161377,0.08255508335
leaky_relu,0.001,50,30,6.90778923,64.70835876,0.1792632365
swish,0.001,100,30,6.597747326,64.75767517,0.1022392822
tanh,0.01,20,200,6.82407856,64.94160461,0.1317193914
elu,0.001,100,50,6.380021572,65.0398941,0.1545559873
swish,0.01,10,200,6.932636738,65.29665375,0.09522625709
elu,0.1,50,100,6.962686539,65.39456177,0.1699022722
sigmoid,0.001,20,10,6.682421684,65.47215271,0.006197019964
leaky_relu,0.01,10,50,6.964445591,65.49552155,0.1859567879
leaky_relu,0.1,20,10,6.945980549,65.5029068,0.1577006863
elu,0.001,10,200,6.743107796,65.51649475,0.1278818579
elu,0.001,20,30,6.801881313,65.54758453,0.1552911618
sigmoid,0.01,10,30,6.556210041,65.57917786,0.1046372595
leaky_relu,0.01,70,30,6.905049324,65.9249649,0.1962492297
swish,0.001,20,10,7.011881351,65.95215607,0.03808665375
elu,0.01,50,200,6.949671745,65.9857254,0.07637168196
tanh,0.1,50,200,7.063577652,66.06169128,
elu,0.1,10,100,7.013240814,66.27201843,0.09552648538
elu,0.001,10,30,6.835898399,66.27776337,0.1742555825
tanh,0.1,100,200,7.083367348,66.46902466,0.0695407776
tanh,0.001,20,50,6.586924076,66.5798645,0.2135200549
leaky_relu,0.001,100,100,7.015827179,66.66419983,0.180479546
elu,0.01,100,50,6.963977814,66.77948761,0.1285746925
sigmoid,0.01,50,30,6.735070229,66.84207153,0.1049451859
sigmoid,0.01,10,10,6.690619946,66.92603302,0.08242806368
tanh,0.01,10,200,6.787908077,66.93135834,0.04722052231
tanh,0.01,10,30,6.991562366,67.04798889,0.06854827859
tanh,0.001,100,50,6.456386566,67.10906982,0.1309418771
swish,0.01,100,200,6.972531319,67.12392426,0.1741516573
swish,0.01,100,100,7.06920433,67.14515686,0.1732086325
elu,0.001,20,10,6.879620552,67.17511749,0.1257186746
elu,0.1,20,100,6.663321972,67.23986053,0.1579470275
elu,0.001,20,200,6.713696003,67.28876495,0.1356685482
swish,0.1,70,200,6.711589813,67.39382172,0.04662006572
elu,0.01,20,50,7.04570055,67.51436615,0.1465575976
swish,0.001,70,30,7.025728226,67.56239319,0.08899074631
sigmoid,0.1,70,100,7.009154797,67.60821533,0.1187721016
tanh,0.001,10,100,6.94985342,67.63536835,0.08791685279
swish,0.001,50,30,7.018773079,67.67971039,0.08729330172
sigmoid,0.001,10,10,6.971670151,67.7806015,0.1226740517
